2383
3000 3000
0 845 392
0 1218 51
0 1569 916
0 2231 196
0 2336 392
1 61 195
1 1364 525
1 2659 559
1 2683 608
1 2928 182
2 312 1
2 348 8
2 657 676
2 915 827
2 1346 960
2 1891 626
2 1902 212
2 2454 106
3 168 788
3 754 561
3 1570 452
3 1773 505
3 2329 720
4 440 2
4 635 466
4 1878 183
4 2124 740
4 2546 731
5 24 369
5 372 78
5 978 939
5 1049 576
5 1062 746
5 1567 199
5 1607 437
5 2200 829
5 2214 121
5 2250 349
5 2252 756
5 2590 510
6 1339 21
6 1740 843
6 2159 463
6 2860 931
7 457 146
8 338 543
8 656 139
8 702 674
8 997 589
8 1052 496
8 1277 954
8 1312 887
8 1766 960
8 1775 181
8 2050 388
8 2141 963
8 2651 531
8 2694 154
9 417 411
9 1013 194
9 1263 274
9 2509 842
10 189 832
10 357 800
10 677 616
10 777 392
10 825 482
10 1289 61
10 1367 131
10 1624 581
10 1640 817
10 2114 92
10 2141 842
10 2267 532
11 28 536
11 1423 111
11 2262 826
11 2364 69
11 2531 363
12 594 225
12 1203 159
12 2784 971
13 1338 938
13 1691 952
14 92 370
14 623 136
14 729 298
14 1113 76
14 1543 762
14 1716 423
14 2488 236
14 2693 580
15 256 962
15 1354 909
15 1742 246
15 2767 823
16 28 284
16 761 866
16 913 81
16 927 609
16 1505 830
16 1701 674
16 2092 92
16 2206 668
16 2242 765
16 2768 116
16 2929 436
17 53 144
17 700 815
17 1153 827
17 1969 575
17 2046 103
17 2254 782
17 2812 145
18 366 168
18 609 672
18 761 102
18 835 18
18 1481 524
18 1709 261
18 1872 205
18 2431 724
18 2643 259
19 1044 525
19 1387 783
19 1963 278
19 2036 319
19 2514 139
20 1267 253
20 2624 432
20 2683 796
20 2698 420
21 1339 201
21 1469 261
21 1504 684
21 1641 536
21 2260 83
21 2541 238
21 2637 552
21 2855 823
22 572 906
22 915 138
22 1560 245
22 2118 196
22 2159 773
22 2287 537
22 2374 38
22 2412 564
22 2607 293
23 495 936
23 1124 579
23 1713 975
23 2897 599
23 2958 717
24 5 369
24 295 397
24 574 866
24 1141 196
24 1887 56
25 560 423
26 487 466
26 706 712
26 1264 314
26 1382 191
26 1421 361
26 1703 161
26 2135 410
26 2402 204
26 2467 4
26 2792 677
27 678 493
27 1197 227
28 11 536
28 16 284
28 492 37
28 1560 73
28 1660 213
28 2124 386
28 2608 536
29 259 382
29 964 259
29 1290 44
29 1742 416
29 1897 947
29 2475 341
30 1533 410
30 1874 824
30 1918 373
30 2371 283
30 2530 505
30 2670 197
30 2940 528
31 1533 57
31 1711 318
31 2741 35
32 299 214
32 547 210
32 1490 874
32 1752 49
32 2260 994
33 624 545
33 725 203
33 2077 774
33 2084 53
33 2295 373
33 2478 581
33 2822 307
34 1421 920
34 2885 365
35 911 831
35 1180 646
35 1214 509
35 1257 811
35 2446 585
35 2453 242
35 2941 177
36 124 404
36 278 465
36 2077 178
37 536 167
37 1122 89
37 1704 454
37 2181 973
37 2523 669
37 2797 130
38 746 495
38 832 547
38 878 673
38 1115 857
38 1706 147
38 1891 678
38 2068 650
38 2267 803
39 207 998
39 400 747
39 1007 693
39 1243 804
39 1430 17
39 1861 597
39 2744 119
40 1262 965
40 2457 235
40 2689 319
41 582 907
41 903 230
41 1336 377
41 1643 935
41 1671 97
41 1801 54
41 2320 444
42 461 563
42 837 495
42 1030 82
42 1950 876
43 1074 851
43 1225 141
43 1713 340
43 1855 821
43 2054 546
43 2739 335
43 2867 121
44 348 910
44 656 286
44 861 273
44 981 988
44 1210 593
44 1341 530
44 1472 979
44 2674 673
44 2918 131
45 54 409
45 58 513
45 132 415
45 319 939
45 634 334
45 881 592
45 1312 177
45 1584 587
45 1890 610
45 2546 981
46 169 394
46 366 40
46 1183 519
46 1930 673
46 2113 273
46 2923 17
47 154 326
47 854 199
47 873 251
47 1423 620
47 1493 451
47 2173 541
47 2254 64
48 1757 88
48 2813 975
49 1894 761
49 2770 5
50 185 931
50 595 128
50 1055 348
50 1633 998
51 1897 373
52 224 405
52 451 854
52 492 891
52 496 519
52 942 917
52 1245 873
52 1712 453
52 2385 861
52 2644 911
52 2655 79
53 17 144
53 440 195
53 476 507
